year_ceremony,Category,name,film
1964,ART DIRECTION (Black-and-White),Gene Callahan,America America
1964,ART DIRECTION (Color),"Art Direction:  John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga;  Set Decoration:  Walter M. Scott, Paul S. Fox, Ray Moyer",Cleopatra
1964,CINEMATOGRAPHY,James Wong Howe,Hud
1964,CINEMATOGRAPHY,Leon Shamroy,Cleopatra
1964,COSTUME DESIGN (Black-and-White),Piero Gherardi,Federico Fellini's 8-1/2
1964,COSTUME DESIGN (Color),"Irene Sharaff, Vittorio Nino Novarese, Renie",Cleopatra
1964,DIRECTING,Tony Richardson,Tom Jones
1964,DOCUMENTARY (Feature),"Robert Hughes, Producer",Robert Frost: A Lover's Quarrel with the World
1964,DOCUMENTARY (Short Subject),"Simon Schiffrin, Producer",Chagall
1964,FILM EDITING,Harold F. Kress,How the West Was Won
1964,FOREIGN LANGUAGE FILM,Italy,Federico Fellini's 8-1/2
1964,MUSIC (Music Score--substantially original),John Addison,Tom Jones
1964,MUSIC (Scoring of Music--adaptation or treatment),Andre Previn,Irma La Douce
1964,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,Papa's Delicate Condition
1964,BEST PICTURE,"Tony Richardson, Producer",Tom Jones
1964,SHORT SUBJECT (Cartoon),"Ernest Pintoff, Producer",The Critic
1964,SHORT SUBJECT (Live Action),"Paul de Roubaix and Marcel Ichac, Producers",An Occurrence at Owl Creek Bridge
1964,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",How the West Was Won
1964,SOUND EFFECTS,Walter G. Elliott,"It's a Mad, Mad, Mad, Mad World"
1964,SPECIAL EFFECTS,"Emil Kosa, Jr.",Cleopatra
1964,WRITING (Adapted Screenplay),John Osborne,Tom Jones
1964,WRITING (Story and Screenplay--written directly for the screen),James R. Webb,How the West Was Won
1964,IRVING G. THALBERG MEMORIAL AWARD,Sam Spiegel,
1965,ART DIRECTION (Black-and-White),Vassilis Fotopoulos,Zorba the Greek
1965,ART DIRECTION (Color),"Art Direction:  Gene Allen, Cecil Beaton;  Set Decoration:  George James Hopkins",My Fair Lady
1965,CINEMATOGRAPHY,Walter Lassally,Zorba the Greek
1965,CINEMATOGRAPHY,Harry Stradling,My Fair Lady
1965,COSTUME DESIGN (Black-and-White),Dorothy Jeakins,The Night of the Iguana
1965,COSTUME DESIGN (Color),Cecil Beaton,My Fair Lady
1965,DIRECTING,George Cukor,My Fair Lady
1965,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer",Jacques-Yves Cousteau's World without Sun
1965,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer",Nine from Little Rock
1965,FILM EDITING,Cotton Warburton,Mary Poppins
1965,FOREIGN LANGUAGE FILM,Italy,"Yesterday, Today and Tomorrow"
1965,MUSIC (Music Score--substantially original),"Richard M. Sherman, Robert B. Sherman",Mary Poppins
1965,MUSIC (Scoring of Music--adaptation or treatment),Andre Previn,My Fair Lady
1965,MUSIC (Song),Music and Lyrics by Richard M. Sherman and Robert B. Sherman,Mary Poppins
1965,BEST PICTURE,"Jack L. Warner, Producer",My Fair Lady
1965,SHORT SUBJECT (Cartoon),"David H. DePatie and Friz Freleng, Producers",The Pink Phink
1965,SHORT SUBJECT (Live Action),"Edward Schreiber, Producer",Casals Conducts: 1964
1965,SOUND,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",My Fair Lady
1965,SOUND EFFECTS,Norman Wanstall,Goldfinger
1965,SPECIAL VISUAL EFFECTS,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske",Mary Poppins
1965,WRITING (Adapted Screenplay),Edward Anhalt,Becket
1965,WRITING (Story and Screenplay--written directly for the screen),"Story by S. H. Barnett;  Screenplay by Peter Stone, Frank Tarloff",Father Goose
1965,HONORARY AWARD, William Tuttle for his outstanding make-up achievement for 7 Faces of Dr. Lao.,
1966,ART DIRECTION (Black-and-White),Art Direction:  Robert Clatworthy;  Set Decoration:  Joseph Kish,Ship of Fools
1966,ART DIRECTION (Color),"Art Direction:  John Box, Terry Marsh;  Set Decoration:  Dario Simoni",Doctor Zhivago
1966,CINEMATOGRAPHY,Ernest Laszlo,Ship of Fools
1966,CINEMATOGRAPHY,Freddie Young,Doctor Zhivago
1966,COSTUME DESIGN (Black-and-White),Julie Harris,Darling
1966,COSTUME DESIGN (Color),Phyllis Dalton,Doctor Zhivago
1966,DIRECTING,Robert Wise,The Sound of Music
1966,DOCUMENTARY (Feature),"Sidney Glazier, Producer",The Eleanor Roosevelt Story
1966,DOCUMENTARY (Short Subject),"Francis Thompson, Producer",To Be Alive!
1966,FILM EDITING,William Reynolds,The Sound of Music
1966,FOREIGN LANGUAGE FILM,Czechoslovakia,The Shop on Main Street
1966,MUSIC (Music Score--substantially original),Maurice Jarre,Doctor Zhivago
1966,MUSIC (Scoring of Music--adaptation or treatment),Irwin Kostal,The Sound of Music
1966,MUSIC (Song),Music by Johnny Mandel; Lyrics by Paul Francis Webster,The Sandpiper
1966,BEST PICTURE,"Robert Wise, Producer",The Sound of Music
1966,SHORT SUBJECT (Cartoon),"Chuck Jones and Les Goldman, Producers",The Dot and the Line
1966,SHORT SUBJECT (Live Action),"Claude Berri, Producer",The Chicken (Le Poulet)
1966,SOUND,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",The Sound of Music
1966,SOUND EFFECTS,Tregoweth Brown,The Great Race
1966,SPECIAL VISUAL EFFECTS,John Stears,Thunderball
1966,WRITING (Adapted Screenplay),Robert Bolt,Doctor Zhivago
1966,WRITING (Story and Screenplay--written directly for the screen),Frederic Raphael,Darling
1966,JEAN HERSHOLT HUMANITARIAN AWARD,Edmond L. DePatie,
1966,HONORARY AWARD, Bob Hope for unique and distinguished service to our industry and the Academy.,
1966,IRVING G. THALBERG MEMORIAL AWARD,William Wyler,
1967,ART DIRECTION (Black-and-White),Art Direction:  Richard Sylbert;  Set Decoration:  George James Hopkins,Who's Afraid of Virginia Woolf?
1967,ART DIRECTION (Color),"Art Direction:  Jack Martin Smith, Dale Hennesy;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",Fantastic Voyage
1967,CINEMATOGRAPHY,Haskell Wexler,Who's Afraid of Virginia Woolf?
1967,CINEMATOGRAPHY,Ted Moore,A Man for All Seasons
1967,COSTUME DESIGN (Black-and-White),Irene Sharaff,Who's Afraid of Virginia Woolf?
1967,COSTUME DESIGN (Color),"Elizabeth Haffenden, Joan Bridge",A Man for All Seasons
1967,DIRECTING,Fred Zinnemann,A Man for All Seasons
1967,DOCUMENTARY (Feature),"Peter Watkins, Producer",The War Game
1967,DOCUMENTARY (Short Subject),"Edmond A. Levy, Producer",A Year toward Tomorrow
1967,FILM EDITING,"Fredric Steinkamp, Henry Berman, Stewart Linder, Frank Santillo",Grand Prix
1967,FOREIGN LANGUAGE FILM,France,A Man and a Woman
1967,MUSIC (Original Music Score),John Barry,Born Free
1967,MUSIC (Scoring of Music--adaptation or treatment),Ken Thorne,A Funny Thing Happened on the Way to the Forum
1967,MUSIC (Song),Music by John Barry; Lyrics by Don Black,Born Free
1967,BEST PICTURE,"Fred Zinnemann, Producer",A Man for All Seasons
1967,SHORT SUBJECT (Cartoon),"John Hubley and Faith Hubley, Producers",Herb Alpert and the Tijuana Brass Double Feature
1967,SHORT SUBJECT (Live Action),"Edgar Anstey, Producer",Wild Wings
1967,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Grand Prix
1967,SOUND EFFECTS,Gordon Daniel,Grand Prix
1967,SPECIAL VISUAL EFFECTS,Art Cruickshank,Fantastic Voyage
1967,WRITING (Adapted Screenplay),Robert Bolt,A Man for All Seasons
1967,WRITING (Story and Screenplay--written directly for the screen),"Story by Claude Lelouch;  Screenplay by Claude Lelouch, Pierre Uytterhoeven",A Man and a Woman
1967,JEAN HERSHOLT HUMANITARIAN AWARD,George Bagnall,
1967,HONORARY AWARD, Y. Frank Freeman for unusual and outstanding service to the Academy during his thirty years in Hollywood.,
1967,HONORARY AWARD, Yakima Canutt for achievements as a stunt man and for developing safety devices to protect stunt men everywhere.,
1967,IRVING G. THALBERG MEMORIAL AWARD,Robert Wise,
1968,PRODUCTION DESIGN,"Art Direction:  John Truscott, Edward Carrere;  Set Decoration:  John W. Brown",Camelot
1968,CINEMATOGRAPHY,Burnett Guffey,Bonnie and Clyde
1968,COSTUME DESIGN,John Truscott,Camelot
1968,DIRECTING,Mike Nichols,The Graduate
1968,DOCUMENTARY (Feature),"Pierre Schoendoerffer, Producer",The Anderson Platoon
1968,DOCUMENTARY (Short Subject),"Mark Harris and Trevor Greenwood, Producers",The Redwoods
1968,FILM EDITING,Hal Ashby,In the Heat of the Night
1968,FOREIGN LANGUAGE FILM,Czechoslovakia,Closely Watched Trains
1968,MUSIC (Original Music Score),Elmer Bernstein,Thoroughly Modern Millie
1968,MUSIC (Scoring of Music--adaptation or treatment),"Alfred Newman, Ken Darby",Camelot
1968,MUSIC (Song),Music and Lyrics by Leslie Bricusse,Doctor Dolittle
1968,BEST PICTURE,"Walter Mirisch, Producer",In the Heat of the Night
1968,SHORT SUBJECT (Cartoon),"Fred Wolf, Producer",The Box
1968,SHORT SUBJECT (Live Action),"Christopher Chapman, Producer",A Place to Stand
1968,SOUND,Samuel Goldwyn Studio Sound Department,In the Heat of the Night
1968,SOUND EFFECTS,John Poyner,The Dirty Dozen
1968,SPECIAL VISUAL EFFECTS,L. B. Abbott,Doctor Dolittle
1968,WRITING (Adapted Screenplay),Stirling Silliphant,In the Heat of the Night
1968,WRITING (Story and Screenplay--written directly for the screen),William Rose,Guess Who's Coming to Dinner
1968,JEAN HERSHOLT HUMANITARIAN AWARD,Gregory Peck,
1968,HONORARY AWARD, Arthur Freed for distinguished service to the Academy and the production of six top-rated Awards telecasts.,
1968,IRVING G. THALBERG MEMORIAL AWARD,Alfred Hitchcock,
1969,PRODUCTION DESIGN,"Art Direction:  John Box, Terence Marsh;  Set Decoration:  Vernon Dixon, Ken Muggleston",Oliver!
1969,CINEMATOGRAPHY,Pasqualino De Santis,Romeo and Juliet
1969,COSTUME DESIGN,Danilo Donati,Romeo and Juliet
1969,DIRECTING,Carol Reed,Oliver!
1969,DOCUMENTARY (Feature),"Bill McGaw, Producer",Journey into Self
1969,DOCUMENTARY (Short Subject),"Saul Bass, Producer",Why Man Creates
1969,FILM EDITING,Frank P. Keller,Bullitt
1969,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,War and Peace
1969,MUSIC (Original Score--for a motion picture [not a musical]),John Barry,The Lion in Winter
1969,MUSIC (Score of a Musical Picture--original or adaptation),Adaptation score by John Green,Oliver!
1969,MUSIC (Song--Original for the Picture),Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,The Thomas Crown Affair
1969,BEST PICTURE,"John Woolf, Producer",Oliver!
1969,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Winnie the Pooh and the Blustery Day
1969,SHORT SUBJECT (Live Action),"Charles Guggenheim, Producer",Robert Kennedy Remembered
1969,SOUND,Shepperton Studio Sound Department,Oliver!
1969,SPECIAL VISUAL EFFECTS,Stanley Kubrick,2001: A Space Odyssey
1969,WRITING (Adapted Screenplay),James Goldman,The Lion in Winter
1969,WRITING (Story and Screenplay--written directly for the screen),Mel Brooks,The Producers
1969,JEAN HERSHOLT HUMANITARIAN AWARD,Martha Raye,
1969,HONORARY AWARD, John Chambers for his outstanding makeup achievement for Planet of the Apes.,
1969,HONORARY AWARD, Onna White for her outstanding choreography achievement for Oliver!,
1970,PRODUCTION DESIGN,"Art Direction:  John DeCuir, Jack Martin Smith, Herman Blumenthal;  Set Decoration:  Walter M. Scott, George Hopkins, Raphael Bretton","Hello, Dolly!"
1970,CINEMATOGRAPHY,Conrad Hall,Butch Cassidy and the Sundance Kid
1970,COSTUME DESIGN,Margaret Furse,Anne of the Thousand Days
1970,DIRECTING,John Schlesinger,Midnight Cowboy
1970,DOCUMENTARY (Feature),"Bernard Chevry, Producer",Arthur Rubinstein - The Love of Life
1970,DOCUMENTARY (Short Subject),"Denis Sanders and Robert M. Fresco, Producers",Czechoslovakia 1968
1970,FILM EDITING,Françoise Bonnot,Z
1970,FOREIGN LANGUAGE FILM,Algeria,Z
1970,MUSIC (Original Score--for a motion picture [not a musical]),Burt Bacharach,Butch Cassidy and the Sundance Kid
1970,MUSIC (Score of a Musical Picture--original or adaptation),Adaptation score by Lennie Hayton and Lionel Newman,"Hello, Dolly!"
1970,MUSIC (Song--Original for the Picture),Music by Burt Bacharach; Lyrics by Hal David,Butch Cassidy and the Sundance Kid
1970,BEST PICTURE,"Jerome Hellman, Producer",Midnight Cowboy
1970,SHORT SUBJECT (Cartoon),"Ward Kimball, Producer",It's Tough to Be a Bird
1970,SHORT SUBJECT (Live Action),"Joan Keller Stern, Producer",The Magic Machines
1970,SOUND,"Jack Solomon, Murray Spivack","Hello, Dolly!"
1970,SPECIAL VISUAL EFFECTS,Robbie Robertson,Marooned
1970,WRITING (Adapted Screenplay),Waldo Salt,Midnight Cowboy
1970,WRITING (Story and Screenplay--based on material not previously published or produced),William Goldman,Butch Cassidy and the Sundance Kid
1970,JEAN HERSHOLT HUMANITARIAN AWARD,George Jessel,
1970,HONORARY AWARD, Cary Grant for his unique mastery of the art of screen acting with the respect and affection of his colleagues.,
1971,PRODUCTION DESIGN,"Art Direction:  Urie McCleary, Gil Parrondo;  Set Decoration:  Antonio Mateos, Pierre-Louis Thevenet",Patton
1971,CINEMATOGRAPHY,Freddie Young,Ryan's Daughter
1971,COSTUME DESIGN,Nino Novarese,Cromwell
1971,DIRECTING,Franklin J. Schaffner,Patton
1971,DOCUMENTARY (Feature),"Bob Maurice, Producer",Woodstock
1971,DOCUMENTARY (Short Subject),"Joseph Strick, Producer",Interviews with My Lai Veterans
1971,FILM EDITING,Hugh S. Fowler,Patton
1971,FOREIGN LANGUAGE FILM,Italy,Investigation of a Citizen above Suspicion
1971,MUSIC (Original Score),Francis Lai,Love Story
1971,MUSIC (Original Song Score),Music and lyrics by The Beatles,Let It Be
1971,MUSIC (Song--Original for the Picture),Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James),Lovers and Other Strangers
1971,BEST PICTURE,"Frank McCarthy, Producer",Patton
1971,SHORT SUBJECT (Cartoon),"Nick Bosustow, Producer",Is It Always Right to Be Right?
1971,SHORT SUBJECT (Live Action),"John Longenecker, Producer",The Resurrection of Broncho Billy
1971,SOUND,"Douglas Williams, Don Bassman",Patton
1971,SPECIAL VISUAL EFFECTS,"A. D. Flowers, L. B. Abbott",Tora! Tora! Tora!
1971,WRITING (Adapted Screenplay),"Ring Lardner, Jr.",M*A*S*H
1971,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),"Francis Ford Coppola, Edmund H. North",Patton
1971,JEAN HERSHOLT HUMANITARIAN AWARD,Frank Sinatra,
1971,HONORARY AWARD, Lillian Gish for superlative artistry and for distinguished contribution to the progress of motion pictures.,
1971,HONORARY AWARD, Orson Welles for superlative artistry and versatility in the creation of motion pictures.,
1971,IRVING G. THALBERG MEMORIAL AWARD,Ingmar Bergman,
1972,PRODUCTION DESIGN,"Art Direction:  John Box, Ernest Archer, Jack Maxsted, Gil Parrondo;  Set Decoration:  Vernon Dixon",Nicholas and Alexandra
1972,CINEMATOGRAPHY,Oswald Morris,Fiddler on the Roof
1972,COSTUME DESIGN,"Yvonne Blake, Antonio Castillo",Nicholas and Alexandra
1972,DIRECTING,William Friedkin,The French Connection
1972,DOCUMENTARY (Feature),"Walon Green, Producer",The Hellstrom Chronicle
1972,DOCUMENTARY (Short Subject),"Manuel Arango and Robert Amram, Producers",Sentinels of Silence
1972,FILM EDITING,Jerry Greenberg,The French Connection
1972,FOREIGN LANGUAGE FILM,Italy,The Garden of the Finzi Continis
1972,MUSIC (Original Dramatic Score),Michel Legrand,Summer of '42
1972,MUSIC (Scoring: Adaptation and Original Song Score),Adaptation Score by John Williams,Fiddler on the Roof
1972,MUSIC (Song--Original for the Picture),Isaac Hayes,Shaft
1972,BEST PICTURE,"Philip D'Antoni, Producer",The French Connection
1972,SHORT SUBJECT (Animated),"Ted Petok, Producer",The Crunch Bird
1972,SHORT SUBJECT (Live Action),"Manuel Arango and Robert Amram, Producers",Sentinels of Silence
1972,SOUND,"Gordon K. McCallum, David Hildyard",Fiddler on the Roof
1972,SPECIAL VISUAL EFFECTS,"Alan Maley, Eustace Lycett, Danny Lee",Bedknobs and Broomsticks
1972,WRITING (Adapted Screenplay),Ernest Tidyman,The French Connection
1972,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Paddy Chayefsky,The Hospital
1972,HONORARY AWARD, Charles Chaplin for the incalculable effect he has had in making motion pictures the art form of this century.,
1973,PRODUCTION DESIGN,"Art Direction:  Rolf Zehetbauer, Jurgen Kiebach;  Set Decoration:  Herbert Strabel",Cabaret
1973,CINEMATOGRAPHY,Geoffrey Unsworth,Cabaret
1973,COSTUME DESIGN,Anthony Powell,Travels with My Aunt
1973,DIRECTING,Bob Fosse,Cabaret
1973,DOCUMENTARY (Feature),"Howard Smith and Sarah Kernochan, Producers",Marjoe
1973,DOCUMENTARY (Short Subject),"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers",This Tiny World
1973,FILM EDITING,David Bretherton,Cabaret
1973,FOREIGN LANGUAGE FILM,France,The Discreet Charm of the Bourgeoisie
1973,MUSIC (Original Dramatic Score),"Charles Chaplin, Raymond Rasch, Larry Russell",Limelight
1973,MUSIC (Scoring: Adaptation and Original Song Score),Adaptation Score by Ralph Burns,Cabaret
1973,MUSIC (Song--Original for the Picture),Music and Lyrics by Al Kasha and Joel Hirschhorn,The Poseidon Adventure
1973,BEST PICTURE,"Albert S. Ruddy, Producer",The Godfather
1973,SHORT SUBJECT (Animated),"Richard Williams, Producer",A Christmas Carol
1973,SHORT SUBJECT (Live Action),"Richard Barclay, Producer",Norman Rockwell's World...An American Dream
1973,SOUND,"Robert Knudson, David Hildyard",Cabaret
1973,WRITING (Adapted Screenplay),"Mario Puzo, Francis Ford Coppola",The Godfather
1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Jeremy Larner,The Candidate
1973,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"L. B. Abbott, A. D. Flowers",The Poseidon Adventure
1973,JEAN HERSHOLT HUMANITARIAN AWARD,Rosalind Russell,
1973,HONORARY AWARD, Charles S. Boren,
1973,HONORARY AWARD, Edward G. Robinson who achieved greatness as a player,
1974,PRODUCTION DESIGN,Art Direction:  Henry Bumstead;  Set Decoration:  James Payne,The Sting
1974,CINEMATOGRAPHY,Sven Nykvist,Cries and Whispers
1974,COSTUME DESIGN,Edith Head,The Sting
1974,DIRECTING,George Roy Hill,The Sting
1974,DOCUMENTARY (Feature),"Kieth Merrill, Producer",The Great American Cowboy
1974,DOCUMENTARY (Short Subject),"Julian Krainin and DeWitt L. Sage, Jr., Producers",Princeton: A Search for Answers
1974,FILM EDITING,William Reynolds,The Sting
1974,FOREIGN LANGUAGE FILM,France,Day for Night
1974,MUSIC (Original Dramatic Score),Marvin Hamlisch,The Way We Were
1974,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Adaptation Score by Marvin Hamlisch,The Sting
1974,MUSIC (Song),Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman,The Way We Were
1974,BEST PICTURE,"Tony Bill, Michael Phillips and Julia Phillips, Producers",The Sting
1974,SHORT SUBJECT (Animated),"Frank Mouris, Producer",Frank Film
1974,SHORT SUBJECT (Live Action),"Allan Miller and William Fertik, Producers",The Bolero
1974,SOUND,"Robert Knudson, Chris Newman",The Exorcist
1974,WRITING (Adapted Screenplay),William Peter Blatty,The Exorcist
1974,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),David S. Ward,The Sting
1974,JEAN HERSHOLT HUMANITARIAN AWARD,Lew Wasserman,
1974,HONORARY AWARD, Henri Langlois for his devotion to the art of film,
1974,HONORARY AWARD, Groucho Marx in recognition of his brilliant creativity and for the unequalled achievements of the Marx Brothers in the art of motion picture comedy.,
1974,IRVING G. THALBERG MEMORIAL AWARD,Lawrence Weingarten,
1975,PRODUCTION DESIGN,"Art Direction:  Dean Tavoularis, Angelo Graham;  Set Decoration:  George R. Nelson",The Godfather Part II
1975,CINEMATOGRAPHY,"Fred Koenekamp, Joseph Biroc",The Towering Inferno
1975,COSTUME DESIGN,Theoni V. Aldredge,The Great Gatsby
1975,DIRECTING,Francis Ford Coppola,The Godfather Part II
1975,DOCUMENTARY (Feature),"Peter Davis and Bert Schneider, Producers",Hearts and Minds
1975,DOCUMENTARY (Short Subject),"Robin Lehman, Producer",Don't
1975,FILM EDITING,"Harold F. Kress, Carl Kress",The Towering Inferno
1975,FOREIGN LANGUAGE FILM,Italy,Amarcord
1975,MUSIC (Original Dramatic Score),"Nino Rota, Carmine Coppola",The Godfather Part II
1975,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Adaptation Score by Nelson Riddle,The Great Gatsby
1975,MUSIC (Song),Music and Lyrics by Al Kasha and Joel Hirschhorn,The Towering Inferno
1975,BEST PICTURE,"Francis Ford Coppola, Producer;  Gray Frederickson and Fred Roos, Co-Producers",The Godfather Part II
1975,SHORT FILM (Animated),"Will Vinton and Bob Gardiner, Producers",Closed Mondays
1975,SHORT FILM (Live Action),"Paul Claudon and Edmond Sechan, Producers",One-Eyed Men Are Kings
1975,SOUND,"Ronald Pierce, Melvin Metcalfe, Sr.",Earthquake
1975,WRITING (Original Screenplay),Robert Towne,Chinatown
1975,WRITING (Adapted Screenplay),"Francis Ford Coppola, Mario Puzo",The Godfather Part II
1975,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Frank Brendel, Glen Robinson, Albert Whitlock",Earthquake
1975,JEAN HERSHOLT HUMANITARIAN AWARD,Arthur B. Krim,
1975,HONORARY AWARD, Howard Hawks - A master American filmmaker whose creative efforts hold a distinguished place in world cinema.,
1975,HONORARY AWARD, Jean Renoir - a genius who,
1976,PRODUCTION DESIGN,"Art Direction:  Ken Adam, Roy Walker;  Set Decoration:  Vernon Dixon",Barry Lyndon
1976,CINEMATOGRAPHY,John Alcott,Barry Lyndon
1976,COSTUME DESIGN,"Ulla-Britt Soderlund, Milena Canonero",Barry Lyndon
1976,DIRECTING,Milos Forman,One Flew over the Cuckoo's Nest
1976,DOCUMENTARY (Feature),"F. R. Crawley, James Hager and Dale Hartleben, Producers",The Man Who Skied down Everest
1976,DOCUMENTARY (Short Subject),"Claire Wilbur and Robin Lehman, Producers",The End of the Game
1976,FILM EDITING,Verna Fields,Jaws
1976,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,Dersu Uzala
1976,MUSIC (Original Score),John Williams,Jaws
1976,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Adaptation Score by Leonard Rosenman,Barry Lyndon
1976,MUSIC (Original Song),Music and Lyrics by Keith Carradine,Nashville
1976,BEST PICTURE,"Saul Zaentz and Michael Douglas, Producers",One Flew over the Cuckoo's Nest
1976,SHORT FILM (Animated),"Bob Godfrey, Producer",Great
1976,SHORT FILM (Live Action),"Bert Salzman, Producer",Angel and Big Joe
1976,SOUND,"Robert L. Hoyt, Roger Heman, Earl Madery, John Carter",Jaws
1976,WRITING (Original Screenplay),Frank Pierson,Dog Day Afternoon
1976,WRITING (Adapted Screenplay),"Lawrence Hauben, Bo Goldman",One Flew over the Cuckoo's Nest
1976,SPECIAL ACHIEVEMENT AWARD (Sound Effects),Peter Berkos,The Hindenburg
1976,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Albert Whitlock, Glen Robinson",The Hindenburg
1976,JEAN HERSHOLT HUMANITARIAN AWARD,Dr. Jules C. Stein,
1976,HONORARY AWARD, Mary Pickford in recognition of her unique contributions to the film industry and the development of film as an artistic medium.,
1976,IRVING G. THALBERG MEMORIAL AWARD,Mervyn LeRoy,
1977,PRODUCTION DESIGN,Art Direction:  George Jenkins;  Set Decoration:  George Gaines,All the President's Men
1977,CINEMATOGRAPHY,Haskell Wexler,Bound for Glory
1977,COSTUME DESIGN,Danilo Donati,Fellini's Casanova
1977,DIRECTING,John G. Avildsen,Rocky
1977,DOCUMENTARY (Feature),"Barbara Kopple, Producer","Harlan County, U.S.A."
1977,DOCUMENTARY (Short Subject),"Lynne Littman, Producer",Number Our Days
1977,FILM EDITING,"Richard Halsey, Scott Conrad",Rocky
1977,FOREIGN LANGUAGE FILM,Ivory Coast,Black and White in Color
1977,MUSIC (Original Score),Jerry Goldsmith,The Omen
1977,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Adaptation Score by Leonard Rosenman,Bound for Glory
1977,MUSIC (Original Song),Music by Barbra Streisand; Lyrics by Paul Williams,A Star Is Born
1977,BEST PICTURE,"Irwin Winkler and Robert Chartoff, Producers",Rocky
1977,SHORT FILM (Animated),"Suzanne Baker, Producer",Leisure
1977,SHORT FILM (Live Action),"Andre Guttfreund and Peter Werner, Producers",In the Region of Ice
1977,SOUND,"Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb",All the President's Men
1977,WRITING (Adapted Screenplay),William Goldman,All the President's Men
1977,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Paddy Chayefsky,Network
1977,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Carlo Rambaldi, Glen Robinson, Frank Van der Veer",King Kong
1977,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"L. B. Abbott, Glen Robinson, Matthew Yuricich",Logan's Run
1977,IRVING G. THALBERG MEMORIAL AWARD,Pandro S. Berman,
1978,PRODUCTION DESIGN,"Art Direction:  John Barry, Norman Reynolds, Leslie Dilley;  Set Decoration:  Roger Christian",Star Wars
1978,CINEMATOGRAPHY,Vilmos Zsigmond,Close Encounters of the Third Kind
1978,COSTUME DESIGN,John Mollo,Star Wars
1978,DIRECTING,Woody Allen,Annie Hall
1978,DOCUMENTARY (Feature),"John Korty, Dan McCann and Warren L. Lockhart, Producers",Who Are the DeBolts? And Where Did They Get Nineteen Kids?
1978,DOCUMENTARY (Short Subject),"John Joseph and Jan Stussy, Producers",Gravity Is My Enemy
1978,FILM EDITING,"Paul Hirsch, Marcia Lucas, Richard Chew",Star Wars
1978,FOREIGN LANGUAGE FILM,France,Madame Rosa
1978,MUSIC (Original Score),John Williams,Star Wars
1978,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Adaptation Score by Jonathan Tunick,A Little Night Music
1978,MUSIC (Original Song),Music and Lyrics by Joseph Brooks,You Light Up My Life
1978,BEST PICTURE,"Charles H. Joffe, Producer",Annie Hall
1978,SHORT FILM (Animated),"Co Hoedeman, Producer",The Sand Castle
1978,SHORT FILM (Live Action),"Beverly Shaffer and Yuki Yoshida, Producers",I'll Find a Way
1978,SOUND,"Don MacDougall, Ray West, Bob Minkler, Derek Ball",Star Wars
1978,VISUAL EFFECTS,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack",Star Wars
1978,WRITING (Adapted Screenplay),Alvin Sargent,Julia
1978,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),"Woody Allen, Marshall Brickman",Annie Hall
1978,SPECIAL ACHIEVEMENT AWARD, Benjamin Burtt,
1978,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Frank E. Warner,Close Encounters of the Third Kind
1978,JEAN HERSHOLT HUMANITARIAN AWARD,Charlton Heston,
