director_name,ceremony,year,category,outcome,original_language
Alex Merkin,"International Filmmaker Festival of World Cinema, London",2017,Festival Award,Nominated,en
Alex Merkin,Los Angeles Film Review Independent Film Awards,2017,Gold Award,Won,en
Alex Merkin,Prince of Prestige Academy Award,2017,Paeca,Won,en
Alex Merkin,Southern Shorts Awards,2017,Award of Distinction,Won,en
Alex Merkin,The Monthly Film Festival (TMFF),2017,January Award,Won,en
Alex Merkin,The Monthly Film Festival (TMFF),2017,January Award,2nd place,en
Alex Merkin,The Monthly Film Festival (TMFF),2017,January Award,Nominated,en
Rajat Kapoor,Filmfare Awards,2017,Main Award,Nominated,hi
Rajat Kapoor,"Stardust Awards, India",2017,Reader's Choice,Nominated,hi
Lou Diamond Phillips,Imagen Foundation Awards,2017,Imagen Award,Nominated,en
Lou Diamond Phillips,Oldenburg Film Festival,2017,German Independence Honorary Award,Won,en
Lou Diamond Phillips,San Antonio Film Festival,2017,Jury Prize,Won,en
Masaaki Yuasa,Fantasia Film Festival,2017,Audience Award,2nd place,ja
Masaaki Yuasa,Fantasia Film Festival,2017,Audience Award,3rd place,ja
Ineke Houtman,Hamburg Film Festival,2017,Michel Award,Nominated,nl
Andrew J. Smith,Giffoni Film Festival,2017,CGS Award,Won,en
Andrew J. Smith,Sundance Film Festival,2017,Grand Jury Prize,Nominated,en
Neil Johnson,Los Angeles Theatrical Release Competition & Awards,2017,Jury Prize,Won,en
Neil Johnson,WorldFest Houston,2017,Gold Remi Award,Won,en
Leena Yadav,Jaipur International Film Festival,2017,Feature Film,Won,en
Mahamat-Saleh Haroun,CPH:DOX,2017,F:ACT Award,Nominated,en
Blair Underwood,Academy of Television Arts and Sciences College Television Awards,2017,Emmy,Won,en
Blair Underwood,Daytime Emmy Awards,2017,Daytime Emmy,Won,en
Andreas Johnsen,Bodil Awards,2017,Bodil,Nominated,en
Andreas Johnsen,Cleveland International Film Festival,2017,Global Health Competition,Nominated,en
Denis Villeneuve,"Academy Awards, USA",2017,Oscar,Nominated,en
Denis Villeneuve,BAFTA Awards,2017,David Lean Award for Direction,Nominated,en
Denis Villeneuve,AACTA International Awards,2017,AACTA International Award,Nominated,en
Denis Villeneuve,"Academy of Science Fiction, Fantasy & Horror Films, USA",2017,Saturn Award,Nominated,en
Denis Villeneuve,Alliance of Women Film Journalists,2017,EDA Award,Nominated,en
Denis Villeneuve,Bodil Awards,2017,Bodil,Nominated,en
Denis Villeneuve,Central Ohio Film Critics Association,2017,COFCA Award,Nominated,en
Denis Villeneuve,Cinema Brazil Grand Prize,2017,Cinema Brazil Grand Prize,Won,en
Denis Villeneuve,Denver Film Critics Society,2017,DFCS Award,Nominated,en
Denis Villeneuve,"Directors Guild of America, USA",2017,DGA Award,Nominated,en
Denis Villeneuve,"Empire Awards, UK",2017,Empire Award,Nominated,en
Denis Villeneuve,Georgia Film Critics Association (GFCA),2017,GFCA Award,Nominated,en
Denis Villeneuve,Gold Derby Awards,2017,Gold Derby Award,Nominated,en
Denis Villeneuve,Houston Film Critics Society Awards,2017,HFCS Award,Nominated,en
Denis Villeneuve,Hugo Awards,2017,Hugo,Won,en
Denis Villeneuve,"North Texas Film Critics Association, US",2017,NTFCA Award,Nominated,en
Denis Villeneuve,Online Film & Television Association,2017,OFTA Film Award,2nd place,en
Denis Villeneuve,Online Film Critics Society Awards,2017,OFCS Award,Nominated,en
Denis Villeneuve,Robert Festival,2017,Robert,Nominated,en
Denis Villeneuve,Santa Barbara International Film Festival,2017,Outstanding Director of the Year Award,Won,en
Denis Villeneuve,Seattle Film Critics Awards,2017,Seattle Film Critics Award,Nominated,en
Denis Villeneuve,"SESC Film Festival, Brazil",2017,Critics Award,Won,en
Denis Villeneuve,Vancouver Film Critics Circle,2017,VFCC Award,Nominated,en
Pavel Lungin,Nika Awards,2017,Nika,Nominated,ru
Jean-Franรงois Laguionie,"Lumiere Awards, France",2017,Lumiere Award,Nominated,fr
Jean-Franรงois Laguionie,Portland International Film Festival,2017,Audience Award,2nd place,fr
Jean-Franรงois Laguionie,Tromsรธ International Film Festival,2017,Aurora Award,Nominated,fr
Jamie Mitchell,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Jesse James Miller,Leo Awards,2017,Leo,Nominated,en
Jesse James Miller,Nashville Film Festival,2017,Grand Jury Prize,Nominated,en
Jesse James Miller,NORTHWESTFEST International Documentary & Media Arts Festival,2017,Festival Prize,Nominated,en
Matt Tyrnauer,Miami Film Festival,2017,Knight Documentary Achievement Award,Nominated,en
Ken Olin,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Drew Barrymore,Gracie Allen Awards,2017,Gracie,Won,en
Jeff Rector,Best Shorts Competition,2017,Award of Merit,Won,en
Jack White,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Jack White,Grammy Awards,2017,Grammy,Nominated,en
Ricky Gervais,Behind the Voice Actors Awards,2017,BTVA Special/DVD Voice Acting Award,Won,en
Ricky Gervais,"Writers Guild of America, USA",2017,WGA Award (TV),Nominated,en
Carrie Preston,Gold Derby Awards,2017,Gold Derby TV Award,Nominated,en
Alain Gsponer,Portland International Film Festival,2017,Audience Award,Won,de
Alain Gsponer,Portland International Film Festival,2017,Audience Award,3rd place,de
Alain Gsponer,Wisconsin Film Festival,2017,Audience Award,Won,de
Felix Van Groeningen,"Lumiere Awards, France",2017,Lumiere Award,Nominated,nl
Felix Van Groeningen,"Magritte Awards, Belgium",2017,Magritte Award,Won,nl
Raymond De Felitta,"Directors Guild of America, USA",2017,DGA Award,Nominated,en
Don Argott,Hamptons International Film Festival,2017,Golden Starfish Award,Nominated,en
Aleksey Uchitel,Hamburg Film Festival,2017,Art Cinema Award,Nominated,en
Hanna Skรถld,Guldbagge Awards,2017,Guldbagge,Nominated,en
Michael Keaton,AARP Movies for Grownups Awards,2017,Movies for Grownups Award,Nominated,en
Michael Keaton,Society of Camera Operators,2017,Governors' Award,Won,en
Marco Bellocchio,Argentinean Film Critics Association Awards,2017,Silver Condor,Nominated,en
Marco Bellocchio,David di Donatello Awards,2017,David,Nominated,en
Marco Bellocchio,"Golden Globes, Italy",2017,Golden Globe,Nominated,en
Gianni Amelio,Golden Ciak Awards,2017,Golden Ciak,Won,it
Gianni Amelio,Italian National Syndicate of Film Journalists,2017,Silver Ribbon,Won,it
Laรญs Bodanzky,Berlin International Film Festival,2017,Panorama Audience Award,Nominated,pt
Laรญs Bodanzky,Berlin International Film Festival,2017,Teddy,Nominated,pt
Laรญs Bodanzky,Gramado Film Festival,2017,Golden Kikito,Won,pt
Laรญs Bodanzky,Paris Brazilian Film Festival,2017,Audience Award,Won,pt
Laรญs Bodanzky,Valladolid International Film Festival,2017,Golden Spike,Nominated,pt
Laรญs Bodanzky,Vitรณria Cine Vรญdeo,2017,Audience Award,Won,pt
Laรญs Bodanzky,Vitรณria Cine Vรญdeo,2017,Feature Film Competition,Won,pt
Lucas Belvaux,Istanbul International Film Festival,2017,Golden Tulip,Nominated,fr
Lucas Belvaux,Rotterdam International Film Festival,2017,Big Screen Award,Nominated,fr
Rich Newey,Albuquerque Film & Media Experience,2017,Audience Choice Award,2nd place,en
Rich Newey,Albuquerque Film & Media Experience,2017,Jury Award,2nd place,en
Rich Newey,Sonoma International Film Festival,2017,Audience Choice,Won,en
Michel Boujenah,Zlin Film Festival,2017,Audience Award,Won,fr
Michel Boujenah,Zlin Film Festival,2017,Main Prize of the Children's Jury,Won,fr
Robert Jan Westdijk,Edinburgh International Film Festival,2017,Audience Award,Nominated,nl
Robert Jan Westdijk,Edinburgh International Film Festival,2017,Best International Feature Film,Nominated,nl
Andrew R. Jones,"Academy Awards, USA",2017,Oscar,Won,en
Andrew R. Jones,BAFTA Awards,2017,BAFTA Film Award,Won,en
Andrew R. Jones,"Academy of Science Fiction, Fantasy & Horror Films, USA",2017,Saturn Award,Nominated,en
Andrew R. Jones,Annie Awards,2017,Annie,Won,en
Andrew R. Jones,Annie Awards,2017,Annie,Nominated,en
Andrew R. Jones,Gold Derby Awards,2017,Gold Derby Award,Won,en
Andrew R. Jones,International Online Cinema Awards (INOCA),2017,INOCA,Won,en
Andrew R. Jones,Online Film & Television Association,2017,OFTA Film Award,2nd place,en
Andrew R. Jones,Seattle Film Critics Awards,2017,Seattle Film Critics Award,Nominated,en
Andrew R. Jones,Visual Effects Society Awards,2017,VES Award,Won,en
Giulio Base,MedFF,2017,Jury Prize,Won,it
Jennifer Baichwal,Toronto International Film Festival,2017,People's Choice Award,2nd place,en
Linda Mendoza,"Directors Guild of America, USA",2017,DGA Award,Nominated,en
Paul Schneider,Fangoria Chainsaw Awards,2017,Chainsaw Award,Nominated,en
Tristram Shapeero,Gold Derby Awards,2017,Gold Derby TV Award,Nominated,en
Vanessa Gould,Portland International Film Festival,2017,Audience Award,2nd place,en
David Byrne,"Cinema Eye Honors Awards, US",2017,Cinema Eye Honors Award,Won,en
Jan Jakub Kolski,Lecce Festival of European Cinema,2017,Golden Olive Tree,Nominated,pl
Barry Jenkins,"Academy Awards, USA",2017,Oscar,Won,en
Barry Jenkins,"Academy Awards, USA",2017,Oscar,Nominated,en
Barry Jenkins,"Golden Globes, USA",2017,Golden Globe,Nominated,en
Barry Jenkins,BAFTA Awards,2017,BAFTA Film Award,Nominated,en
Barry Jenkins,Alliance of Women Film Journalists,2017,EDA Award,Won,en
Barry Jenkins,Black Reel Awards,2017,Black Reel,Won,en
Barry Jenkins,Central Ohio Film Critics Association,2017,COFCA Award,Won,en
Barry Jenkins,Central Ohio Film Critics Association,2017,COFCA Award,2nd place,en
Barry Jenkins,Chlotrudis Awards,2017,Chlotrudis Award,Won,en
Barry Jenkins,Denver Film Critics Society,2017,DFCS Award,Won,en
Barry Jenkins,"Directors Guild of America, USA",2017,DGA Award,Nominated,en
Barry Jenkins,Film Independent Spirit Awards,2017,Independent Spirit Award,Won,en
Barry Jenkins,Film Independent Spirit Awards,2017,Robert Altman Award,Won,en
Barry Jenkins,Gay and Lesbian Entertainment Critics Association (GALECA),2017,Dorian Award,Won,en
Barry Jenkins,Gay and Lesbian Entertainment Critics Association (GALECA),2017,Dorian Award,Nominated,en
Barry Jenkins,Georgia Film Critics Association (GFCA),2017,GFCA Award,Won,en
Barry Jenkins,Georgia Film Critics Association (GFCA),2017,GFCA Award,Nominated,en
Barry Jenkins,Georgia Film Critics Association (GFCA),2017,Breakthrough Award,Nominated,en
Barry Jenkins,Gold Derby Awards,2017,Gold Derby Award,Won,en
Barry Jenkins,Gold Derby Awards,2017,Gold Derby Award,Nominated,en
Barry Jenkins,Houston Film Critics Society Awards,2017,HFCS Award,Nominated,en
Barry Jenkins,Image Awards,2017,Image Award,Won,en
Barry Jenkins,International Cinephile Society Awards,2017,ICS Award,Nominated,en
Barry Jenkins,International Online Cinema Awards (INOCA),2017,INOCA,Won,en
Barry Jenkins,Iowa Film Critics Awards,2017,IFC Award,2nd place,en
Barry Jenkins,London Critics Circle Film Awards,2017,ALFS Award,Nominated,en
Barry Jenkins,"National Society of Film Critics Awards, USA",2017,NSFC Award,Won,en
Barry Jenkins,"National Society of Film Critics Awards, USA",2017,NSFC Award,2nd place,en
Barry Jenkins,North Carolina Film Critics Association,2017,NCFCA Award,Nominated,en
Barry Jenkins,"North Texas Film Critics Association, US",2017,NTFCA Award,2nd place,en
Barry Jenkins,Oklahoma Film Critics Circle Awards,2017,OFCC Award,2nd place,en
Barry Jenkins,Online Film & Television Association,2017,OFTA Film Award,Won,en
Barry Jenkins,Online Film & Television Association,2017,OFTA Film Award,Nominated,en
Barry Jenkins,Online Film Critics Society Awards,2017,OFCS Award,Won,en
Barry Jenkins,Online Film Critics Society Awards,2017,OFCS Award,Nominated,en
Barry Jenkins,Palm Springs International Film Festival,2017,Directors to Watch,Won,en
Barry Jenkins,Rotterdam International Film Festival,2017,Audience Award,Won,en
Barry Jenkins,Rotterdam International Film Festival,2017,MovieZone Award,Nominated,en
Barry Jenkins,Santa Barbara International Film Festival,2017,Outstanding Director of the Year Award,Won,en
Barry Jenkins,Seattle Film Critics Awards,2017,Seattle Film Critics Award,Won,en
Barry Jenkins,USC Scripter Award,2017,USC Scripter Award,Won,en
Barry Jenkins,Vancouver Film Critics Circle,2017,VFCC Award,Nominated,en
Barry Jenkins,"Writers Guild of America, USA",2017,WGA Award (Screen),Won,en
Antti Jokinen,Nashville Film Festival,2017,Special Jury Prize,Won,en
Antti Jokinen,Nashville Film Festival,2017,Grand Jury Prize,Nominated,en
Terence Davies,International Online Cinema Awards (INOCA),2017,Halfway Award,Nominated,en
Elliott Lester,Santa Barbara International Film Festival,2017,Panavision Spirit Award for Independent Cinema,Nominated,en
Hannes Holm,Chlotrudis Awards,2017,Chlotrudis Award,Nominated,sv
Hannes Holm,Gold Derby Awards,2017,Gold Derby Award,Nominated,sv
Sarah Townsend,Winter Film Awards,2017,Award of Excellence,Nominated,en
Alison Maclean,New Zealand Film and TV Awards (II),2017,Film Award,Nominated,en
Naoko Ogigami,Berlin International Film Festival,2017,Teddy Jury Award,Won,ja
Naoko Ogigami,Berlin International Film Festival,2017,Panorama Audience Award,2nd place,ja
Naoko Ogigami,TLVFest - The Tel Aviv International LGBT Film Festival,2017,Jury Prize,Won,ja
So Yong Kim,Film Independent Spirit Awards,2017,John Cassavetes Award,Nominated,en
Mark Hamill,Behind the Voice Actors Awards,2017,BTVA People's Choice Voice Acting Award,Won,en
Mark Hamill,Behind the Voice Actors Awards,2017,BTVA Special/DVD Voice Acting Award,Nominated,en
Mark Hamill,Behind the Voice Actors Awards,2017,BTVA Television Voice Acting Award,Nominated,en
Carlos Saura,"Cinema Writers Circle Awards, Spain",2017,CEC Award,Nominated,es
Carlos Saura,Josรฉ Marรญa Forquรฉ Awards,2017,Josรฉ Marรญa Forquรฉ Award,Nominated,es
Jamil Dehlavi,West Coast International Film Festival,2017,Charlie Chaplin Award,Won,en
Jamil Dehlavi,WorldFest Houston,2017,Platinum Remi Award,Won,en
Dmitriy Dyachenko,APKIT Awards,2017,APKiT,Nominated,ru
Alan Rickman,CinEuphoria Awards,2017,CinEuphoria,Won,en
Alan Rickman,Online Film Critics Society Awards,2017,Special Award,Won,en
Xavier Dolan,"Canadian Screen Awards, CA",2017,Canadian Screen Award,Won,fr
Xavier Dolan,"Cรฉsar Awards, France",2017,Cรฉsar,Won,fr
Xavier Dolan,"Cรฉsar Awards, France",2017,Cรฉsar,Nominated,fr
Xavier Dolan,"Globes de Cristal Awards, France",2017,Globe de Cristal,Nominated,fr
Xavier Dolan,"Lumiere Awards, France",2017,Lumiere Award,Nominated,fr
Xavier Dolan,Miami Film Festival,2017,Knight Competition Grand Jury Prize,Nominated,fr
Xavier Dolan,Riviera International Film Festival,2017,Grand Jury Prize,Nominated,fr
Xavier Dolan,Riviera International Film Festival,2017,Jury Prize,Nominated,fr
Ken Burns,Black Reel Awards,2017,Black Reel,Nominated,en
Ken Burns,Television Critics Association Awards,2017,Career Achievement Award,Won,en
Holly Goldberg Sloan,International Christian Film Festival,2017,Festival Award,Nominated,en
Julian Higgins,Top Shorts Film Festival,2017,Jury Prize,Won,en
Alan Cumming,Frameline San Francisco International LGBTQ Film Festival,2017,Frameline Award,Won,en
Bruno Dumont,"Cรฉsar Awards, France",2017,Cรฉsar,Nominated,fr
Hans Petter Moland,Bodil Awards,2017,Streaming Award,Won,en
Bruce Sinofsky,20/20 Awards,2017,Felix,Nominated,en
Philippa Lowthorpe,"New York International Children's Film Festival, US",2017,Grand Prize Feature,Won,en
Philippa Lowthorpe,"Royal Television Society, UK",2017,RTS West Television Award,Nominated,en
Philippa Lowthorpe,Seattle International Film Festival,2017,Films4Families Youth Jury Award,Won,en
Petr Zelenka,Pune International Film Festival (PIFF),2017,Festival Prize,Won,cs
Petr Zelenka,Selb Film Festival,2017,Audience Award,Nominated,cs
Joshua Butler,Victoria TX Indie Film Fest,2017,Jury Prize,Won,en
Andrรฉ Tรฉchinรฉ,Cannes Film Festival,2017,Queer Palm,Nominated,fr
John van Bruggen,Daytime Emmy Awards,2017,Daytime Emmy,Nominated,en
Giddens Ko,Bucheon International Fantastic Film Festival,2017,Bucheon Choice Award,Won,zh
Giddens Ko,Neuchรขtel International Fantastic Film Festival,2017,Narcisse Award,Nominated,zh
Bill Plympton,ASIFA/East Animation Festival,2017,ASIFA/East Award,Won,en
Bill Plympton,Nashville Film Festival,2017,Grand Jury Prize,Won,en
Bill Plympton,Portland International Film Festival,2017,Audience Award,Nominated,en
Joyce E. Bernal,Star Awards for Movies,2017,Star Award,Nominated,en
Eugene Levy,Behind the Voice Actors Awards,2017,BTVA Feature Film Voice Acting Award,Nominated,en
Eugene Levy,"Canadian Screen Awards, CA",2017,Canadian Screen Award,Nominated,en
Eugene Levy,"Kids' Choice Awards, USA",2017,Blimp Award,Won,en
Richard Ayoade,BAFTA Awards,2017,BAFTA TV Award,Nominated,en
Richard Griffin,"SENE Film, Music and Art Festival",2017,Film Jury Award,Won,en
Joe Castro,Southern Shorts Awards,2017,Award of Merit,Won,en
Donna Davies,WIFT-AT Women Making Waves Awards,2017,WAVE Award,Won,en
Nicolas Cage,Razzie Awards,2017,Razzie Award,Nominated,en
Oren Moverman,Berlin International Film Festival,2017,Golden Berlin Bear,Nominated,en
Brad Paulson,Mexico International Film Festival,2017,Bronze Palm Award,Won,en
Geoff Klein,Canadian Cinema Editors Awards,2017,Canadian Cinema Editors Award,Nominated,en
Geoff Klein,"Canadian Screen Awards, CA",2017,Canadian Screen Award,Nominated,en
Daniel Roebuck,"Northeast Film Festival, US",2017,Festival Award,Won,en
Daniel Roebuck,"Northeast Film Festival, US",2017,Audience Choice Award,Won,en
Daniel Roebuck,"Northeast Film Festival, US",2017,Festival Award,Nominated,en
Claudia Llosa,Mรกlaga Spanish Film Festival,2017,Eloy de la Iglesia Award,Won,es
Alex Horwitz,Black Reel Awards,2017,Black Reel,Nominated,en
Alex Horwitz,PGA Awards,2017,PGA Award,Nominated,en
Brett Morgen,Hamptons International Film Festival,2017,Zelda Penzel Giving Voice to the Voiceless Award,Nominated,en
Brett Morgen,London Film Festival,2017,Grierson Award,Nominated,en
Simon Verhoeven,Bavarian Film Awards,2017,Audience Award,Won,de
Simon Verhoeven,Bavarian Film Awards,2017,Bavarian Film Award,Won,de
Simon Verhoeven,German Film Awards,2017,Film Award in Gold,Nominated,de
Simon Verhoeven,Munich Film Festival,2017,German Cinema Award for Peace,Won,de
Simon Verhoeven,Stony Brook Film Festival,2017,Opening Night Film Award,Won,de
Chris Terrio,Razzie Awards,2017,Razzie Award,Won,en
John Krasinski,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
John Krasinski,PGA Awards,2017,PGA Award,Nominated,en
Nick Murphy ,BAFTA Awards,2017,BAFTA TV Award,Nominated,en
Raรบl Ruiz,Argentinean Film Critics Association Awards,2017,Silver Condor,Nominated,en
Raรบl Ruiz,Locarno International Film Festival,2017,Golden Leopard,Nominated,en
รngel Manuel Soto,"National Film Awards, UK",2017,National Film Award,Nominated,es
Kim Sรธnderholm,American Movie Awards,2017,Best Actor,Won,en
Kim Sรธnderholm,"FilmQuest, US",2017,FilmQuest Cthulhu,Nominated,en
Kim Sรธnderholm,iChill International Film Festival,2017,Jury Choice Award,Nominated,en
D.T. Carney,"FANtastic Horror Film Festival, San Diego",2017,FANtastic Award,Nominated,en
Alex Infascelli,Master of Art Film Festival,2017,Best Documentary in Theatre and Cinema,Won,it
George Mendeluk,"Political Film Society, USA",2017,PFS Award,Nominated,en
Thomas Dewier,Screen Actors Guild Awards,2017,Actor,Nominated,en
Sara Johnsen,Lecce Festival of European Cinema,2017,Golden Olive Tree,Nominated,en
Nnegest Likkรฉ,Houston Black Film Festival,2017,Festival Prize,Won,en
Nnegest Likkรฉ,Pan African Film Festival,2017,Programmers Award,Nominated,en
Thomas Riedelsheimer,Edinburgh International Film Festival,2017,Best Documentary Feature Film,Nominated,en
Thomas Riedelsheimer,Munich International Documentary Festival (DOK.fest),2017,Viktor Award,Nominated,en
Chris Munro,International Online Cinema Awards (INOCA),2017,Halfway Award,Nominated,en
Link Neal,The Webby Awards,2017,People's Voice,Won,en
Link Neal,The Webby Awards,2017,Webby Award,Nominated,en
Phil Grabsky,Master of Art Film Festival,2017,Most Beautiful Documentary,Won,en
Kim Rossi Stuart,Santa Barbara International Film Festival,2017,Jury Award,Nominated,en
Petra Epperlein,Hamptons International Film Festival,2017,Golden Starfish Award,Nominated,en
Pete McCormack,Leo Awards,2017,Leo,Nominated,en
Kiefer Sutherland,"People's Choice Awards, USA",2017,People's Choice Award,Nominated,en
Cristi Puiu,"Gopo Awards, Romania",2017,Gopos Award,Won,ro
Cristi Puiu,"National Society of Film Critics Awards, USA",2017,Special Citation,Won,ro
Cullen Hoback,Dallas International Film Festival,2017,Grand Jury Prize,Nominated,en
Cullen Hoback,Seattle International Film Festival,2017,Documentary Competition Award - Special Mention,Won,en
Cullen Hoback,Seattle International Film Festival,2017,Documentary Competition Award,Nominated,en
Rodrigo Blaas,Daytime Emmy Awards,2017,Daytime Emmy,Won,en
Kentucker Audley,SXSW Film Festival,2017,SXSW Adam Yauch Hรถrnblowรฉr Award,Nominated,en
David O'Reilly,Vila do Conde International Short Film Festival,2017,Grand Prize,Nominated,en
Antonio Banderas,Ischia Global Film & Music Festival,2017,Ischia Actor Award,Won,en
Antonio Banderas,"Madrid International Film Festival, ES",2017,Festival Award,Won,en
Antonio Banderas,Mรกlaga Spanish Film Festival,2017,Mรกlaga Lifetime Achievement Award,Won,en
David Ondลรญฤek,Czech Lions,2017,Czech Lion,Nominated,cs
David Ondลรญฤek,Pune International Film Festival (PIFF),2017,Festival Prize,Won,cs
Zeki Demirkubuz,Golden Apricot Yerevan International Film Festival,2017,Golden Apricot,Nominated,tr
Brett Whitcomb,Boston Underground Film Festival,2017,Director's Award,Won,en
Miguel Sapochnik,"Directors Guild of America, USA",2017,DGA Award,Won,en
Miguel Sapochnik,Hugo Awards,2017,Hugo,Nominated,en
Peter Pau,Hong Kong Film Awards,2017,Hong Kong Film Award,Won,en
Phil Hay,Fangoria Chainsaw Awards,2017,Chainsaw Award,Nominated,en
David Cross,Grammy Awards,2017,Grammy,Nominated,en
Yoon Hong-seung,Neuchรขtel International Fantastic Film Festival,2017,Narcisse Award,Nominated,ko
Lluรญs Danรฉs,Gaudรญ Awards,2017,Gaudรญ Award,Nominated,ca
Chuck Vinson,Daytime Emmy Awards,2017,Daytime Emmy,Won,en
Katarzyna Roslaniec,Edinburgh International Film Festival,2017,Audience Award,Nominated,pl
Katarzyna Roslaniec,SXSW Film Festival,2017,SXSW Gamechanger Award,Nominated,pl
Paulo Betti,Gramado Film Festival,2017,Cidade de Gramado Trophy,Won,en
ล arลซnas Bartas,Odessa International Film Festival,2017,Golden Duke,Nominated,lt
Joรฃo Botelho,Sophia Awards,2017,Sophia,Nominated,pt
Michael Hui,Asian Film Awards,2017,Asian Film Award,Nominated,cn
Anupam Kher,"Stardust Awards, India",2017,Reader's Choice,Nominated,en
Bob Byington,dead CENTER Film Festival,2017,Special Jury Prize,Won,en
Bob Byington,Oak Cliff Film Festival,2017,Grand Jury Prize,Nominated,en
Bob Byington,SXSW Film Festival,2017,SXSW Adam Yauch Hรถrnblowรฉr Award,Nominated,en
Kriv Stenders,Berlin International Film Festival,2017,Crystal Bear,Nominated,en
Randy Daudlin,Hollywood Makeup Artist and Hair Stylist Guild Awards,2017,Artisan,Nominated,en
Margreth Olin,CPH:DOX,2017,Politiken's Audience Award,Nominated,en
Wes Llewellyn,"168 Film Festival, US",2017,Best Director,Won,en
Wes Llewellyn,"168 Film Festival, US",2017,Best Film,3rd place,en
Wes Llewellyn,"168 Film Festival, US",2017,Best Editor,Nominated,en
Wes Llewellyn,"168 Film Festival, US",2017,Best Director,Nominated,en
Wes Llewellyn,"168 Film Festival, US",2017,Best Screenplay,Nominated,en
Donnie Yen,All Def Movie Awards,2017,All Def Movie Award,Won,en
Donnie Yen,"Kids' Choice Awards, USA",2017,Blimp Award,Nominated,en
Abhishek Chaubey,Filmfare Awards,2017,Main Award,Nominated,en
Abhishek Chaubey,"Stardust Awards, India",2017,Reader's Choice,Won,en
Steven Okazaki,"Cinema Eye Honors Awards, US",2017,Cinema Eye Honors Award,Nominated,en
Rajko Grliฤ,Lecce Festival of European Cinema,2017,Golden Olive Tree,Nominated,hr
Rajko Grliฤ,Santa Barbara International Film Festival,2017,Jury Award,Won,hr
Matthew Miller,"Canadian Screen Awards, CA",2017,Canadian Screen Award,Nominated,en
Pablo Larraรญn,Film Independent Spirit Awards,2017,Independent Spirit Award,Nominated,es
Pablo Larraรญn,Gay and Lesbian Entertainment Critics Association (GALECA),2017,Dorian Award,Nominated,es
Pablo Larraรญn,Georgia Film Critics Association (GFCA),2017,GFCA Award,Nominated,es
Pablo Larraรญn,Gold Derby Awards,2017,Gold Derby Award,Nominated,es
Pablo Larraรญn,Josรฉ Marรญa Forquรฉ Awards,2017,Best Latin American Picture,Nominated,es
Pablo Larraรญn,Online Film Critics Society Awards,2017,OFCS Award,Nominated,es
Pablo Larraรญn,Palm Springs International Film Festival,2017,Cine Latino Award,Won,es
Pablo Larraรญn,Rotterdam International Film Festival,2017,MovieZone Award,Nominated,es
Pablo Larraรญn,The Platino Awards for Iberoamerican Cinema,2017,Platino Award,Nominated,es
Pablo Larraรญn,Tromsรธ International Film Festival,2017,Aurora Award,Nominated,es
Nicole Garcia,"Cรฉsar Awards, France",2017,Cรฉsar,Nominated,fr
Nicole Garcia,"Globes de Cristal Awards, France",2017,Globe de Cristal,Nominated,fr
Vรญt Klusรกk,Karlovy Vary International Film Festival,2017,Best Documentary,Nominated,cs
Alec Baldwin,Primetime Emmy Awards,2017,Primetime Emmy,Won,en
Alec Baldwin,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Alec Baldwin,Gold Derby Awards,2017,Gold Derby TV Award,Nominated,en
Alec Baldwin,"People's Choice Awards, USA",2017,People's Choice Award,Nominated,en
Charlotte Sieling,Santa Barbara International Film Festival,2017,Valhalla Award,Nominated,da
Charlotte Sieling,Seattle International Film Festival,2017,New Directors Competition,Nominated,da
Walter Carvalho,ABC Cinematography Award,2017,ABC Trophy,Won,pt
Walter Carvalho,Mรกlaga Spanish Film Festival,2017,Silver Biznaga,Nominated,pt
Sally Field,AARP Movies for Grownups Awards,2017,Movies for Grownups Award,Nominated,en
Sally Field,Alliance of Women Film Journalists,2017,EDA Special Mention Award,Nominated,en
Joel Lamangan,Sinag Maynila Film Festival,2017,Sinag Award,Won,en
Joel Lamangan,Sinag Maynila Film Festival,2017,Sinag Award,Nominated,en
Joel Lamangan,Star Awards for Movies,2017,Special Award,Won,en
Duncan Christie,Canadian Cinema Editors Awards,2017,Canadian Cinema Editors Award,Nominated,en
Duncan Christie,"Canadian Screen Awards, CA",2017,Canadian Screen Award,Nominated,en
Duncan Christie,Directors Guild of Canada,2017,DGC Craft Award,Nominated,en
Spiro Razatos,Online Film & Television Association,2017,OFTA Film Award,2nd place,en
Spiro Razatos,Screen Actors Guild Awards,2017,Actor,Nominated,en
Spiro Razatos,World Stunt Awards,2017,Taurus World Stunt Award,Nominated,en
Tom Ford,"Golden Globes, USA",2017,Golden Globe,Nominated,en
Tom Ford,BAFTA Awards,2017,David Lean Award for Direction,Nominated,en
Tom Ford,BAFTA Awards,2017,BAFTA Film Award,Nominated,en
Tom Ford,Alliance of Women Film Journalists,2017,EDA Award,Nominated,en
Tom Ford,Central Ohio Film Critics Association,2017,COFCA Award,Nominated,en
Tom Ford,Cinema Brazil Grand Prize,2017,Cinema Brazil Grand Prize,Nominated,en
Tom Ford,Denver Film Critics Society,2017,DFCS Award,Nominated,en
